value,timestamp,anomaly
-0.5433283715573074,2021-08-30 00:00:00,False
-0.4492561823514113,2021-08-30 00:10:00,False
-0.43712541530527,2021-08-30 00:20:00,False
0.7229776598885183,2021-08-30 00:30:00,True
-0.5097211396840226,2021-08-30 00:40:00,False
-0.4416886819768774,2021-08-30 00:50:00,False
-0.5423925326645069,2021-08-30 01:00:00,False
,2021-08-30 01:10:00,False
-0.5277985754097122,2021-08-30 01:20:00,False
0.9776706815498288,2021-08-30 01:30:00,True
-0.4261542387376564,2021-08-30 01:40:00,False
-0.5285407370498849,2021-08-30 01:50:00,False
-0.4022595225544257,2021-08-30 02:00:00,False
-0.4958871632595787,2021-08-30 02:10:00,False
-0.4613073449473616,2021-08-30 02:20:00,False
-0.4942510692697935,2021-08-30 02:30:00,False
-0.4858931070814994,2021-08-30 02:40:00,False
,2021-08-30 02:50:00,False
-0.4133974086379569,2021-08-30 03:00:00,False
-0.5040182225131626,2021-08-30 03:10:00,False
-0.4793664553586416,2021-08-30 03:20:00,False
-0.445144370009471,2021-08-30 03:30:00,False
-0.5273782632795568,2021-08-30 03:40:00,False
-0.4797323622009323,2021-08-30 03:50:00,False
-0.5084939995519373,2021-08-30 04:00:00,False
-0.4241663536186568,2021-08-30 04:10:00,False
-0.5781608694340582,2021-08-30 04:20:00,False
-0.515764343957807,2021-08-30 04:30:00,False
-0.533504902072655,2021-08-30 04:40:00,False
-0.4476465788577367,2021-08-30 04:50:00,False
-0.5166472048715356,2021-08-30 05:00:00,False
-0.5502424756362986,2021-08-30 05:10:00,False
-0.5265715259367975,2021-08-30 05:20:00,False
-0.4077440181524094,2021-08-30 05:30:00,False
-0.4821658666097957,2021-08-30 05:40:00,False
-0.4769718157947124,2021-08-30 05:50:00,False
-0.5675934917008638,2021-08-30 06:00:00,False
0.4435528772184745,2021-08-30 06:10:00,True
-0.5416170117628117,2021-08-30 06:20:00,False
-0.5444324571522124,2021-08-30 06:30:00,False
-0.5042036947806342,2021-08-30 06:40:00,False
-0.4802569512935107,2021-08-30 06:50:00,False
-0.4956458160728996,2021-08-30 07:00:00,False
,2021-08-30 07:10:00,False
-0.1767883678316164,2021-08-30 07:20:00,True
-0.4819338280091089,2021-08-30 07:30:00,False
-0.5043889466750463,2021-08-30 07:40:00,False
-0.4328099347080306,2021-08-30 07:50:00,False
-0.5256266696802946,2021-08-30 08:00:00,False
,2021-08-30 08:10:00,False
-0.5638014561025171,2021-08-30 08:20:00,False
-0.4564305859215454,2021-08-30 08:30:00,False
-0.4028758056877919,2021-08-30 08:40:00,False
-0.4230750899984666,2021-08-30 08:50:00,False
-0.5854317280050674,2021-08-30 09:00:00,False
,2021-08-30 09:10:00,False
-0.4686366370142228,2021-08-30 09:20:00,False
-0.5057781352952697,2021-08-30 09:30:00,False
-0.5451866321778474,2021-08-30 09:40:00,False
,2021-08-30 09:50:00,True
-0.4999937549128108,2021-08-30 10:00:00,False
-0.4299882972173565,2021-08-30 10:10:00,False
-0.4926531053417245,2021-08-30 10:20:00,False
-0.4515335220504527,2021-08-30 10:30:00,False
-0.5163623243578781,2021-08-30 10:40:00,False
-0.5776634252371168,2021-08-30 10:50:00,False
-0.4276834390009223,2021-08-30 11:00:00,False
-0.5117228613654122,2021-08-30 11:10:00,False
-0.5014710226951615,2021-08-30 11:20:00,False
-0.4962494779197898,2021-08-30 11:30:00,False
-0.51414256978465,2021-08-30 11:40:00,False
-0.5197262537602884,2021-08-30 11:50:00,False
-0.454679786964724,2021-08-30 12:00:00,False
-0.4974559126716327,2021-08-30 12:10:00,False
-0.5431763081316009,2021-08-30 12:20:00,False
-0.562156324338621,2021-08-30 12:30:00,False
-0.5516857011587726,2021-08-30 12:40:00,False
,2021-08-30 12:50:00,False
0.1993574615351434,2021-08-30 13:00:00,True
,2021-08-30 13:10:00,False
-0.4778789943329343,2021-08-30 13:20:00,False
